Nombre_Objetivo,Actividades_Clínicas_Base,Actividades_Familia_Base,Cantidad_Logros,Definición_Operativa,Fecha,Franja_Etaria,ID_Objetivo,Indicador_Tipo,Informe_Tecnico,Intentos_Sugeridos,Logros,Marco_Conceptual,Meta_%,Módulo,Nivel_1_Descripción,Nivel_2_Descripción,Nivel_3_Descripción,Objetivo_Logrado,Progreso,Recomendacion_Clinica,Semáforo,Sesiones,Sesiones_Consecutivas,Subárea,obj/registro,Área
Combinación espontánea de dos palabras,"Juego de pedir objetos utilizando combinaciones (más jugo, más pelota)

Modelado verbal durante el juego simbólico

Expansión de producciones del niño (niño dice ""auto"" → adulto modela ""auto grande"")

Juego con muñecos realizando acciones simples (nene duerme, mamá come)

Uso de tarjetas con imágenes para provocar combinaciones","Nombrar objetos y agregar una palabra más (auto grande, perro duerme)

Esperar que el niño pida algo y modelar combinación (más galleta)

Durante el juego repetir combinaciones simples

Leer cuentos cortos enfatizando combinaciones de dos palabras

Reforzar positivamente cada intento de combinación verbal",0,"Producción espontánea o inducida de dos palabras diferenciadas dentro de un mismo acto comunicativo, que expresen una relación semántica clara.

Ejemplos:
mamá agua
más galleta
auto grande
nene duerme

Se considera correcta cuando ambas palabras son reconocibles y forman una combinación con intención comunicativa.",,2-3,NL-2-EXP-04,Porcentaje de emisiones correctas,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"Entre los 24 y 36 meses se espera que los niños comiencen a combinar palabras para expresar relaciones semánticas simples como posesión, acción o ubicación. Este hito representa el inicio del desarrollo sintáctico temprano.

La combinación espontánea de dos palabras refleja un avance en la organización del lenguaje expresivo y en la capacidad del niño para estructurar mensajes comunicativos con mayor complejidad.

La ausencia de combinaciones hacia los 30–36 meses puede constituir un indicador de alerta en el desarrollo del lenguaje.",70,Neurolengua,"Sustantivo + sustantivo
ej: mamá agua
","
Sustantivo + verbo
ej: nene duerme
","
Sustantivo + adjetivo
ej: auto grande",En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Combinación sintáctica inicial,,Lenguaje Expresivo
Uso espontáneo de verbo,Juego simbólico con accionesImitación motora + verbalRutinas verbalesModelado expandido,Narrar acciones cotidianasDar opciones verbales (“¿querés comer o tomar?”)Reforzar producciones espontáneas,0,Producción espontánea o inducida de un verbo con intención comunicativa clara.,,2-3,NL-2-EXP-05,Porcentaje de emisiones correctas,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,Entre los 24 y 36 meses emerge el uso espontáneo de verbos como indicador del desarrollo sintáctico inicial. Su ausencia puede señalar dificultades en la organización del lenguaje expresivo.,70,Neurolengua,"Verbo aislado (ej. “come”, “dame”)",Sustantivo + verbo (ej. “mamá come”),Sujeto + verbo + objeto (ej. “mamá toma agua”),En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Estructuración verbal,,Lenguaje Expresivo
Petición verbal espontánea,"
• Juegos de anticipación
• Rutinas interrumpidas
• Elección forzada
• Demoras controladas","
• Esperar iniciativa verbal antes de dar objeto
• Modelar pedidos funcionales
• Reforzar intentos comunicativos
• Evitar anticiparse constantemente",0,"Producción verbal espontánea dirigida a solicitar un objeto, acción o ayuda sin modelo inmediato.",,2-3,NL-2-EXP-06,Porcentaje de peticiones verbales espontáneas,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,Entre los 24 y 36 meses se espera que el niño utilice el lenguaje para expresar necesidades y deseos de forma espontánea. La ausencia de peticiones verbales puede indicar dificultades pragmáticas o expresivas.,70,Neurolengua,"Petición con palabra única (ej. “agua”, “más”)","Petición con verbo (ej. “dame”, “quiero”)","Petición con estructura completa (ej. “quiero jugo”, “dame pelota”)",En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Intencionalidad comunicativa,,Lenguaje Funcional
Respuesta verbal a consignas simples,"Rutinas de consignas breves (dame/mostrame/dónde está) con objetos reales.

Juego de búsqueda (esconder objeto y preguntar “¿dónde está…?”).

Elección forzada con respuesta verbal (“¿querés agua o jugo?”) + espera de respuesta.

Modelado y expansión: si responde “agua” → modelar “quiero agua”.

Juego de “ayudante”: “traé…”, “poné…”, “guardá…” y pedir que lo nombre.","Usar consignas simples en rutinas (baño/comida/juego) y esperar respuesta verbal.

Hacer preguntas funcionales (“¿qué querés?”, “¿dónde está…?”) antes de entregar.

Ofrecer dos opciones y pedir que responda con palabra (“agua/jugo”).

Reforzar cualquier intento verbal y modelar la versión correcta sin exigir repetición.

Jugar a esconder/buscar objetos con preguntas cortas y repetidas.",0,"Ante una consigna simple (1 paso) dada por el adulto en contexto y sin repetición inmediata, el niño emite una respuesta verbal adecuada (palabra o frase) relacionada con la consigna.

Ejemplos de consignas:
“¿Dónde está…?”
“Dame…”
“Mostrame…”
“¿Qué querés?”
“¿Qué es?”
Se considera correcta cuando la respuesta verbal es pertinente al pedido (aunque sea una palabra).",,2-3,NL-2-EXP-07,Porcentaje de emisiones correctas,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"Entre los 24 y 36 meses se espera que el niño comprenda consignas simples y pueda responder a ellas. La respuesta verbal (además de la acción o el gesto) indica avance en la integración comprensión–producción y en la intención comunicativa.

Dificultades sostenidas para responder pueden asociarse a retrasos en comprensión verbal, baja atención conjunta o escasa iniciativa comunicativa, por lo que se recomienda trabajar consignas funcionales, breves y repetidas en rutinas.",70,Neurolengua,"Respuesta con palabra única (ej. “acá”, “agua”, “auto”)
","
Respuesta con combinación de 2 palabras (ej. “acá auto”, “quiero agua”)
","
 Respuesta con frase breve funcional (ej. “quiero más agua”, “está acá”)",En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Interacción,,Lenguaje Comprensivo-Expresivo
Combinación sustantivo + verbo,"Juego con muñecos realizando acciones (nene come, bebé duerme).

Tarjetas de acciones con personas o animales.

Juego simbólico con animales o autos describiendo lo que hacen.

Modelado y expansión de producciones del niño.

Narración breve de acciones durante el juego.","Nombrar acciones cotidianas con el niño (mamá cocina, papá trabaja).

Durante el juego con juguetes describir acciones simples.

Leer cuentos cortos y señalar qué hace cada personaje.

Reforzar cuando el niño combine dos palabras para describir acciones.

Modelar frases simples sin exigir repetición.",0,"Producción espontánea o inducida de una combinación de dos palabras formada por un sustantivo y un verbo que describa una acción.

Ejemplos:
nene come
mamá duerme
perro corre
auto anda
bebé llora

Se considera correcta cuando ambas palabras son reconocibles y expresan una relación clara entre sujeto y acción dentro del mismo acto comunicativo.",,2-3,NL-2-EXP-08,Porcentaje de emisiones correctas,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"Entre los 24 y 36 meses los niños comienzan a producir combinaciones de dos palabras que expresan relaciones semánticas simples. Una de las estructuras más frecuentes es la combinación de sustantivo + verbo, que permite describir acciones realizadas por personas, animales u objetos.

Este tipo de producción representa un avance en el desarrollo sintáctico temprano, ya que implica organizar el lenguaje en estructuras mínimas con significado relacional. La aparición de combinaciones sustantivo + verbo indica progreso en la capacidad del niño para representar acciones y eventos mediante el lenguaje.

La ausencia persistente de este tipo de combinaciones hacia los 30–36 meses puede constituir un indicador de alerta en el desarrollo del lenguaje expresivo.",70,Neurolengua,Producción de combinaciones sustantivo + verbo con apoyo del adulto o modelado directo.,Producción de combinaciones sustantivo + verbo ante pregunta o estímulo visual.,Producción espontánea de combinaciones sustantivo + verbo durante el juego o interacción cotidiana.,En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Sintaxis inicial,,Lenguaje Expresivo
Denominación espontánea de objetos familiares,"Caja sorpresa con objetos familiares para nombrar.

Juego de clasificación de objetos cotidianos.

Tarjetas o imágenes de objetos conocidos.

Juego simbólico con objetos reales.

Lotería o memotest de vocabulario básico.","Nombrar objetos del hogar durante rutinas cotidianas.

Pedir al niño que nombre objetos antes de entregarlos.

Leer libros de imágenes simples y pedir que diga qué ve.

Jugar a buscar objetos en la casa y nombrarlos.

Reforzar positivamente cada intento de denominación.",0,"Producción espontánea del nombre de objetos familiares presentes en el entorno o en imágenes, sin modelo verbal inmediato del adulto.

Se considera correcta cuando el niño emite una palabra reconocible que identifica el objeto presentado o utilizado en el contexto de juego o interacción.

Ejemplos:
auto
pelota
agua
mamá
zapato",,2-3,NL-2-EXP-09,Porcentaje de emisiones correctas,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"Entre los 24 y 36 meses el vocabulario expresivo del niño experimenta un crecimiento significativo. La denominación espontánea de objetos familiares refleja el acceso léxico, la organización semántica y la intención comunicativa.

Nombrar objetos de manera espontánea indica que el niño puede recuperar la palabra adecuada sin modelo inmediato, lo que implica un nivel mayor de consolidación del vocabulario.

Dificultades persistentes en la denominación pueden estar asociadas a retrasos en el desarrollo léxico o en los procesos de evocación verbal.",70,Neurolengua,Denomina objetos familiares con apoyo contextual o señalamiento del adulto.,Denomina objetos ante la pregunta directa del adulto (“¿qué es?”).,Denomina objetos de manera espontánea durante el juego o la interacción cotidiana.,En proceso,1,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Acceso léxico,"4 (https://www.notion.so/4-31cdbccbb7cb80fb89a7fcf32c07746f?pvs=21), 2 (https://www.notion.so/2-31cdbccbb7cb80bda649cda3bf5442a5?pvs=21)",Léxico
Producción de oraciones completas gramaticalmente correctas,Descripción de imágenesNarración guiadaExpansión sintácticaReestructuración verbal,Conversaciones narrativasReformulación modeladaJuegos de historiasDescripción diaria de eventos,0,Producción oral de oraciones completas con estructura sintáctica adecuada y concordancia correcta.,,6-7,NL-6-EXP-01,Porcentaje de oraciones correctas,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,Entre los 6 y 8 años se espera consolidación de estructuras sintácticas completas y correctas. Errores persistentes pueden indicar dificultades en la organización gramatical o en el procesamiento lingüístico.,80,Neurolengua,Oración simple correcta,Oración con expansión,Oración compleja,En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Sintaxis,,Lenguaje Expresivo
Uso adecuado de conectores temporales y causales,Ordenar secuencias temporalesCompletar historias con conectoresJuegos de causa–efectoRelatos con tarjetas narrativas,"
• Preguntar “¿por qué?” y “¿qué pasó después?”
• Modelar conectores al hablar
• Narrar rutinas paso a paso
• Leer cuentos y comentar secuencias",1,Producción oral de conectores adecuados en contexto narrativo o explicativo.,,6-7,NL-6-EXP-02,Porcentaje de uso correcto de conectores,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 1 sesiones con cumplimiento del criterio terapéutico.,10,true,"Entre los 6 y 8 años se consolida el uso de conectores como “porque”, “entonces”, “después”. Su uso adecuado refleja organización narrativa y pensamiento secuencial.",80,Neurolengua,Uso de “y” y “después”,Uso de “porque”,Uso combinado en narración,En proceso,1,Se recomienda continuar intervención terapéutica sobre este objetivo.,🟡 En progreso,6 (https://www.notion.so/6-317dbccbb7cb80cab129e595453ec517?pvs=21),2,Coherencia y cohesión,1 (https://www.notion.so/1-31ddbccbb7cb80dba315df2ad26050d1?pvs=21),Lenguaje Expresivo
Narración estructurada de secuencias,Relatar historias con pictogramasNarración guiada con preguntasReordenar viñetasContar historias inventadasJuegos de inicio–nudo–desenlace,"
• Contar qué pasó en la escuela
• Relatar películas o cuentos
• Juegos de inventar historias
• Secuenciar actividades del día",1,Relato oral estructurado con secuencia temporal coherente.,,7-8,NL-6-EXP-03,Porcentaje de secuencias narradas correctamente,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 1 sesiones con cumplimiento del criterio terapéutico.,10,true,"En esta etapa se espera capacidad de narrar eventos con inicio, desarrollo y cierre.",80,Neurolengua,Descripción de imágenes en orden,Relato con apoyo visual,Narración libre estructurada,En proceso,1,Se recomienda continuar intervención terapéutica sobre este objetivo.,🟡 En progreso,6 (https://www.notion.so/6-317dbccbb7cb80cab129e595453ec517?pvs=21),2,Organización discursiva,"6 (https://www.notion.so/6-317dbccbb7cb80cab129e595453ec517?pvs=21), 5 (https://www.notion.so/5-31bdbccbb7cb80b4bf09c9a7c0709f7d?pvs=21), 3 (https://www.notion.so/3-31ddbccbb7cb80c4a5f2e67dcc04208a?pvs=21), 2 (https://www.notion.so/2-31ddbccbb7cb80d2a102c0be13e4105b?pvs=21), 1 (https://www.notion.so/1-31edbccbb7cb80b5b6d5cc6b6440381e?pvs=21)",Lenguaje Narrativo
Comprensión y producción de inferencias simples,Preguntas inferenciales sobre imágenesHistorias incompletasDetectar pistas contextualesJuegos de “¿qué creés que pasó?”Predicción de finales,Preguntar “¿qué creés que va a pasar?”Conversar sobre emociones de personajesAnticipar situaciones cotidianasLeer cuentos y hacer hipótesis,0,Respuesta adecuada a preguntas inferenciales en contexto narrativo.,,7-8,NL-6-EXP-04,Porcentaje de respuestas inferenciales correctas,El objetivo se encuentra actualmente en estado: En proceso. Hasta el momento se registran 0 sesiones con cumplimiento del criterio terapéutico.,10,,"A esta edad se desarrolla la capacidad de inferir información no explícita, esencial para comprensión lectora futura.",80,Neurolengua,Inferencias con apoyo visual,Inferencias en relato breve,Inferencias sin apoyo visual,En proceso,,Se recomienda continuar intervención terapéutica sobre este objetivo.,🔴 Prioritario,,2,Inferencia,,Comprensión
